year,agegrp,sex,denominator,numerator
2000,00-04,1,5651,109
2000,00-04,2,5706,109
2000,05-09,1,5959,6
2000,05-09,2,5867,11
2000,10-14,1,5951,5
2000,10-14,2,6019,6
2000,15-19,1,5586,13
2000,15-19,2,5918,13
2000,20-24,1,4439,34
2000,20-24,2,4856,46
2000,25-29,1,3588,61
2000,25-29,2,4044,73
2000,30-34,1,2692,63
2000,30-34,2,3204,64
2000,35-39,1,2342,75
2000,35-39,2,2734,62
2000,40-44,1,1835,71
2000,40-44,2,2202,37
2000,45-49,1,1377,40
2000,45-49,2,1411,34
2000,50-54,1,980,40
2000,50-54,2,1259,18
2000,55-59,1,752,28
2000,55-59,2,958,24
2000,60-64,1,588,24
2000,60-64,2,968,32
2000,65-69,1,369,23
2000,65-69,2,864,21
2000,70-74,1,392,28
2000,70-74,2,718,20
2000,75-79,1,165,9
2000,75-79,2,250,10
2000,80-84,1,97,15
2000,80-84,2,196,12
2000,85+,1,72,8
2000,85+,2,205,22
2001,00-04,1,5582,119
2001,00-04,2,5553,113
2001,05-09,1,5839,17
2001,05-09,2,5846,16
2001,10-14,1,5936,2
2001,10-14,2,5885,3
2001,15-19,1,5770,13
2001,15-19,2,6007,15
2001,20-24,1,4451,37
2001,20-24,2,4823,60
2001,25-29,1,3733,69
2001,25-29,2,4193,97
2001,30-34,1,2734,77
2001,30-34,2,3215,80
2001,35-39,1,2295,93
2001,35-39,2,2701,51
2001,40-44,1,1851,67
2001,40-44,2,2333,53
2001,45-49,1,1415,52
2001,45-49,2,1487,35
2001,50-54,1,1005,48
2001,50-54,2,1286,28
2001,55-59,1,713,29
2001,55-59,2,884,19
2001,60-64,1,627,40
2001,60-64,2,1022,29
2001,65-69,1,345,22
2001,65-69,2,802,29
2001,70-74,1,377,31
2001,70-74,2,773,22
2001,75-79,1,168,23
2001,75-79,2,295,13
2001,80-84,1,109,19
2001,80-84,2,216,13
2001,85+,1,66,20
2001,85+,2,196,22
2002,00-04,1,5451,136
2002,00-04,2,5439,96
2002,05-09,1,5938,14
2002,05-09,2,5843,14
2002,10-14,1,5912,9
2002,10-14,2,5942,4
2002,15-19,1,5874,11
2002,15-19,2,6058,16
2002,20-24,1,4546,31
2002,20-24,2,4951,57
2002,25-29,1,3738,84
2002,25-29,2,4259,111
2002,30-34,1,2801,104
