year,agegrp,sex,denominator,numerator
2002,30-34,2,3282,100
2002,35-39,1,2238,75
2002,35-39,2,2625,59
2002,40-44,1,1833,66
2002,40-44,2,2368,44
2002,45-49,1,1443,47
2002,45-49,2,1578,35
2002,50-54,1,1026,43
2002,50-54,2,1302,17
2002,55-59,1,683,29
2002,55-59,2,860,14
2002,60-64,1,642,38
2002,60-64,2,1036,20
2002,65-69,1,353,33
2002,65-69,2,771,27
2002,70-74,1,340,32
2002,70-74,2,783,34
2002,75-79,1,181,13
2002,75-79,2,352,26
2002,80-84,1,112,12
2002,80-84,2,217,18
2002,85+,1,53,14
2002,85+,2,186,36
2003,00-04,1,5319,116
2003,00-04,2,5226,110
2003,05-09,1,5908,10
2003,05-09,2,5854,11
2003,10-14,1,5923,13
2003,10-14,2,5989,8
2003,15-19,1,5821,12
2003,15-19,2,5929,18
2003,20-24,1,4754,34
2003,20-24,2,5160,57
2003,25-29,1,3683,77
2003,25-29,2,4124,96
2003,30-34,1,2828,107
2003,30-34,2,3261,107
2003,35-39,1,2107,93
2003,35-39,2,2540,68
2003,40-44,1,1844,77
2003,40-44,2,2344,69
2003,45-49,1,1443,62
2003,45-49,2,1688,41
2003,50-54,1,1067,43
2003,50-54,2,1318,29
2003,55-59,1,654,25
2003,55-59,2,866,22
2003,60-64,1,636,27
2003,60-64,2,1028,34
2003,65-69,1,349,23
2003,65-69,2,732,24
2003,70-74,1,315,24
2003,70-74,2,794,38
2003,75-79,1,209,20
2003,75-79,2,399,25
2003,80-84,1,94,11
2003,80-84,2,195,16
2003,85+,1,54,8
2003,85+,2,192,37
2004,00-04,1,5315,75
2004,00-04,2,5154,76
2004,05-09,1,5830,16
2004,05-09,2,5793,17
2004,10-14,1,5971,9
2004,10-14,2,6044,10
2004,15-19,1,5843,16
2004,15-19,2,5971,19
2004,20-24,1,4997,35
2004,20-24,2,5366,40
2004,25-29,1,3740,71
2004,25-29,2,4123,110
2004,30-34,1,2789,111
2004,30-34,2,3224,112
2004,35-39,1,2107,79
2004,35-39,2,2583,61
2004,40-44,1,1857,58
2004,40-44,2,2288,66
2004,45-49,1,1414,68
2004,45-49,2,1820,50
2004,50-54,1,1059,33
2004,50-54,2,1295,22
2004,55-59,1,713,28
2004,55-59,2,993,30
2004,60-64,1,613,33
2004,60-64,2,946,24
2004,65-69,1,367,28
2004,65-69,2,742,22
2004,70-74,1,284,24
2004,70-74,2,794,37
2004,75-79,1,221,17
2004,75-79,2,451,27
2004,80-84,1,96,9
2004,80-84,2,179,13
2004,85+,1,66,13
2004,85+,2,199,25
2005,00-04,1,5348,79
2005,00-04,2,5236,77
2005,05-09,1,5668,11
2005,05-09,2,5730,11
2005,10-14,1,5943,3
2005,10-14,2,5932,14
2005,15-19,1,5807,12
2005,15-19,2,5931,21
2005,20-24,1,5173,31
2005,20-24,2,5510,55
2005,25-29,1,3827,67
2005,25-29,2,4109,83
2005,30-34,1,2837,81
2005,30-34,2,3220,103
2005,35-39,1,2113,74
2005,35-39,2,2571,68
2005,40-44,1,1788,73
2005,40-44,2,2259,51
2005,45-49,1,1402,49
2005,45-49,2,1889,40
2005,50-54,1,1075,40
2005,50-54,2,1261,32
2005,55-59,1,751,33
2005,55-59,2,1101,34
2005,60-64,1,568,33
2005,60-64,2,816,29
2005,65-69,1,409,25
2005,65-69,2,821,30
2005,70-74,1,240,15
2005,70-74,2,715,30
2005,75-79,1,240,21
2005,75-79,2,542,25
2005,80-84,1,93,14
2005,80-84,2,184,8
2005,85+,1,73,10
2005,85+,2,211,22
2006,00-04,1,5435,63
2006,00-04,2,5356,66
2006,05-09,1,5574,9
2006,05-09,2,5578,8
2006,10-14,1,5920,6
2006,10-14,2,5967,11
2006,15-19,1,5848,12
2006,15-19,2,5912,11
2006,20-24,1,5384,29
2006,20-24,2,5696,61
2006,25-29,1,3882,68
2006,25-29,2,4149,66
2006,30-34,1,2996,76
2006,30-34,2,3380,77
2006,35-39,1,2115,61
2006,35-39,2,2528,63
2006,40-44,1,1749,68
2006,40-44,2,2225,41
2006,45-49,1,1427,54
2006,45-49,2,1969,38
2006,50-54,1,1080,40
2006,50-54,2,1295,34
2006,55-59,1,767,29
2006,55-59,2,1122,26
2006,60-64,1,533,32
2006,60-64,2,743,24
2006,65-69,1,439,23
2006,65-69,2,872,31
2006,70-74,1,228,14
2006,70-74,2,656,30
2006,75-79,1,234,19
2006,75-79,2,593,37
2006,80-84,1,98,11
2006,80-84,2,212,11
2006,85+,1,79,5
2006,85+,2,225,19
2007,00-04,1,5623,67
2007,00-04,2,5611,49
2007,05-09,1,5506,8
2007,05-09,2,5497,7
2007,10-14,1,5997,9
2007,10-14,2,5988,4
2007,15-19,1,5853,18
2007,15-19,2,5992,14
2007,20-24,1,5571,36
2007,20-24,2,5751,39
2007,25-29,1,4075,58
2007,25-29,2,4311,95
2007,30-34,1,3083,84
2007,30-34,2,3463,84
2007,35-39,1,2201,78
2007,35-39,2,2583,75
2007,40-44,1,1729,59
2007,40-44,2,2194,38
2007,45-49,1,1427,46
2007,45-49,2,2003,33
2007,50-54,1,1110,49
2007,50-54,2,1360,28
2007,55-59,1,808,39
2007,55-59,2,1136,24
2007,60-64,1,504,30
2007,60-64,2,734,21
2007,65-69,1,469,29
2007,65-69,2,876,32
2007,70-74,1,235,25
2007,70-74,2,625,28
2007,75-79,1,215,15
2007,75-79,2,597,29
2007,80-84,1,108,12
2007,80-84,2,255,21
2007,85+,1,79,18
2007,85+,2,223,33
2008,00-04,1,5733,72
2008,00-04,2,5632,55
2008,05-09,1,5397,9
2008,05-09,2,5311,7
2008,10-14,1,5924,7
2008,10-14,2,5931,12
2008,15-19,1,5869,16
2008,15-19,2,6008,5
2008,20-24,1,5555,35
2008,20-24,2,5637,50
2008,25-29,1,4275,56
2008,25-29,2,4578,58
2008,30-34,1,3093,66
2008,30-34,2,3396,77
2008,35-39,1,2297,68
2008,35-39,2,2645,53
2008,40-44,1,1645,61
2008,40-44,2,2115,30
2008,45-49,1,1446,46
2008,45-49,2,2011,36
2008,50-54,1,1124,42
2008,50-54,2,1462,29
2008,55-59,1,850,33
2008,55-59,2,1149,26
2008,60-64,1,482,23
2008,60-64,2,743,22
2008,65-69,1,472,21
2008,65-69,2,882,25
2008,70-74,1,229,15
2008,70-74,2,596,26
2008,75-79,1,209,19
2008,75-79,2,614,43
2008,80-84,1,130,9
2008,80-84,2,290,16
2008,85+,1,69,12
2008,85+,2,214,31
2009,00-04,1,5793,61
2009,00-04,2,5668,46
2009,05-09,1,5357,6
2009,05-09,2,5314,4
2009,10-14,1,5718,5
2009,10-14,2,5735,9
2009,15-19,1,5891,15
2009,15-19,2,6012,15
2009,20-24,1,5547,25
2009,20-24,2,5620,28
2009,25-29,1,4470,59
2009,25-29,2,4780,53
2009,30-34,1,3152,65
2009,30-34,2,3423,56
2009,35-39,1,2294,62
2009,35-39,2,2623,49
2009,40-44,1,1671,50
2009,40-44,2,2131,37
2009,45-49,1,1442,47
2009,45-49,2,1978,30
2009,50-54,1,1105,48
2009,50-54,2,1557,35
2009,55-59,1,852,32
2009,55-59,2,1111,20
2009,60-64,1,537,28
2009,60-64,2,837,28
2009,65-69,1,449,23
2009,65-69,2,809,19
2009,70-74,1,238,18
2009,70-74,2,616,26
2009,75-79,1,187,18
2009,75-79,2,596,41
2009,80-84,1,132,20
2009,80-84,2,334,18
2009,85+,1,77,7
2009,85+,2,207,31
2010,00-04,1,5736,37
2010,00-04,2,5527,44
2010,05-09,1,5482,10
2010,05-09,2,5473,5
2010,10-14,1,5515,11
2010,10-14,2,5614,5
2010,15-19,1,5824,16
2010,15-19,2,5902,13
2010,20-24,1,5578,23
2010,20-24,2,5648,24
2010,25-29,1,4703,46
2010,25-29,2,4945,60
2010,30-34,1,3259,63
2010,30-34,2,3491,51
2010,35-39,1,2358,64
2010,35-39,2,2649,37
2010,40-44,1,1697,43
2010,40-44,2,2122,35
2010,45-49,1,1430,34
2010,45-49,2,1966,27
2010,50-54,1,1097,36
2010,50-54,2,1656,25
2010,55-59,1,848,35
2010,55-59,2,1091,11
2010,60-64,1,579,25
2010,60-64,2,949,16
2010,65-69,1,416,21
2010,65-69,2,696,20
2010,70-74,1,278,29
2010,70-74,2,687,22
2010,75-79,1,161,17
2010,75-79,2,540,34
2010,80-84,1,135,17
2010,80-84,2,386,33
2010,85+,1,86,7
2010,85+,2,218,30
2011,00-04,1,5667,38
2011,00-04,2,5450,29
2011,05-09,1,5608,4
2011,05-09,2,5537,8
2011,10-14,1,5360,8
2011,10-14,2,5456,4
2011,15-19,1,5724,9
2011,15-19,2,5862,14
2011,20-24,1,5591,15
2011,20-24,2,5658,28
2011,25-29,1,4892,52
2011,25-29,2,5076,42
2011,30-34,1,3306,63
2011,30-34,2,3518,47
2011,35-39,1,2478,47
2011,35-39,2,2785,37
2011,40-44,1,1701,42
2011,40-44,2,2108,24
2011,45-49,1,1408,43
2011,45-49,2,1932,22
2011,50-54,1,1122,28
2011,50-54,2,1735,27
2011,55-59,1,853,22
2011,55-59,2,1123,18
2011,60-64,1,593,31
2011,60-64,2,966,20
2011,65-69,1,399,15
2011,65-69,2,629,15
2011,70-74,1,293,27
2011,70-74,2,728,28
2011,75-79,1,144,20
2011,75-79,2,489,26
2011,80-84,1,133,12
2011,80-84,2,404,32
2011,85+,1,96,17
2011,85+,2,237,24
2012,00-04,1,5457,33
2012,00-04,2,5213,43
2012,05-09,1,5723,11
2012,05-09,2,5648,7
2012,10-14,1,5177,8
2012,10-14,2,5265,6
2012,15-19,1,5681,12
2012,15-19,2,5770,5
2012,20-24,1,5526,16
2012,20-24,2,5628,27
2012,25-29,1,4998,51
2012,25-29,2,5118,37
2012,30-34,1,3419,50
2012,30-34,2,3626,39
2012,35-39,1,2515,50
2012,35-39,2,2824,46
2012,40-44,1,1744,37
2012,40-44,2,2151,21
2012,45-49,1,1359,37
2012,45-49,2,1888,19
2012,50-54,1,1120,20
2012,50-54,2,1752,20
2012,55-59,1,860,31
2012,55-59,2,1193,13
2012,60-64,1,626,18
2012,60-64,2,973,21
2012,65-69,1,373,13
2012,65-69,2,619,13
2012,70-74,1,314,30
2012,70-74,2,721,24
2012,75-79,1,143,7
2012,75-79,2,474,23
2012,80-84,1,124,12
2012,80-84,2,401,27
2012,85+,1,93,17
2012,85+,2,272,28
2013,00-04,1,5065,32
2013,00-04,2,4807,24
2013,05-09,1,5675,5
2013,05-09,2,5561,3
2013,10-14,1,4962,3
2013,10-14,2,4961,4
2013,15-19,1,5428,8
2013,15-19,2,5514,9
2013,20-24,1,5415,19
2013,20-24,2,5470,20
2013,25-29,1,4898,38
2013,25-29,2,4925,31
2013,30-34,1,3569,46
2013,30-34,2,3819,32
2013,35-39,1,2480,48
2013,35-39,2,2729,26
2013,40-44,1,1773,29
2013,40-44,2,2195,21
2013,45-49,1,1271,24
2013,45-49,2,1781,14
2013,50-54,1,1158,21
2013,50-54,2,1732,22
2013,55-59,1,862,18
2013,55-59,2,1271,16
2013,60-64,1,651,22
2013,60-64,2,975,20
2013,65-69,1,360,23
2013,65-69,2,623,24
2013,70-74,1,310,28
2013,70-74,2,703,28
2013,75-79,1,133,16
2013,75-79,2,449,21
2013,80-84,1,129,9
2013,80-84,2,409,24
2013,85+,1,95,14
2013,85+,2,290,26
2014,00-04,1,3570,13
2014,00-04,2,3422,9
2014,05-09,1,4379,8
2014,05-09,2,4277,4
2014,10-14,1,3783,6
2014,10-14,2,3751,2
2014,15-19,1,4066,3
2014,15-19,2,4101,1
2014,20-24,1,4152,15
2014,20-24,2,4131,5
2014,25-29,1,3776,24
2014,25-29,2,3786,19
2014,30-34,1,2876,35
2014,30-34,2,3052,27
2014,35-39,1,1948,26
2014,35-39,2,2108,22
2014,40-44,1,1379,16
2014,40-44,2,1669,16
2014,45-49,1,1007,12
2014,45-49,2,1386,8
2014,50-54,1,888,21
2014,50-54,2,1311,13
2014,55-59,1,677,21
2014,55-59,2,1041,12
2014,60-64,1,509,18
2014,60-64,2,742,13
2014,65-69,1,308,13
2014,65-69,2,543,17
2014,70-74,1,232,5
2014,70-74,2,511,12
2014,75-79,1,111,13
2014,75-79,2,359,22
2014,80-84,1,91,15
2014,80-84,2,324,25
2014,85+,1,76,15
2014,85+,2,245,22
