year,agegrp,sex,denominator,numerator
2011,55-59,2,1028,
2011,60-64,1,443,
2011,60-64,2,900,
2011,65-69,1,325,
2011,65-69,2,604,
2011,70-74,1,255,
2011,70-74,2,708,
2011,75-79,1,124,
2011,75-79,2,475,
2011,80-84,1,121,
2011,80-84,2,391,
2011,85+,1,89,
2011,85+,2,225,
2012,00-04,1,4671,
2012,00-04,2,4491,
2012,05-09,1,4782,
2012,05-09,2,4657,
2012,10-14,1,4307,
2012,10-14,2,4225,
2012,15-19,1,4440,
2012,15-19,2,4213,
2012,20-24,1,3028,
2012,20-24,2,3270,
2012,25-29,1,2286,
2012,25-29,2,2800,
2012,30-34,1,1576,
2012,30-34,2,2106,
2012,35-39,1,1224,
2012,35-39,2,1842,
2012,40-44,1,940,
2012,40-44,2,1571,
2012,45-49,1,809,
2012,45-49,2,1500,
2012,50-54,1,703,
2012,50-54,2,1522,
2012,55-59,1,576,
2012,55-59,2,1091,
2012,60-64,1,463,
2012,60-64,2,900,
2012,65-69,1,311,
2012,65-69,2,591,
2012,70-74,1,268,
2012,70-74,2,700,
2012,75-79,1,125,
2012,75-79,2,464,
2012,80-84,1,111,
2012,80-84,2,385,
2012,85+,1,85,
2012,85+,2,257,
2013,00-04,1,4345,
2013,00-04,2,4167,
2013,05-09,1,4734,
2013,05-09,2,4637,
2013,10-14,1,4106,
2013,10-14,2,3991,
2013,15-19,1,4232,
2013,15-19,2,4037,
2013,20-24,1,2868,
2013,20-24,2,3110,
2013,25-29,1,2227,
2013,25-29,2,2694,
2013,30-34,1,1623,
2013,30-34,2,2174,
2013,35-39,1,1205,
2013,35-39,2,1773,
2013,40-44,1,949,
2013,40-44,2,1574,
2013,45-49,1,749,
2013,45-49,2,1407,
2013,50-54,1,723,
2013,50-54,2,1494,
2013,55-59,1,577,
2013,55-59,2,1156,
2013,60-64,1,484,
2013,60-64,2,912,
2013,65-69,1,298,
2013,65-69,2,597,
2013,70-74,1,260,
2013,70-74,2,680,
2013,75-79,1,119,
2013,75-79,2,437,
2013,80-84,1,115,
2013,80-84,2,392,
2013,85+,1,86,
2013,85+,2,276,
2014,00-04,1,3092,
2014,00-04,2,3002,
2014,05-09,1,3649,
2014,05-09,2,3559,
2014,10-14,1,3112,
2014,10-14,2,3013,
2014,15-19,1,3158,
2014,15-19,2,3023,
2014,20-24,1,2133,
2014,20-24,2,2287,
2014,25-29,1,1651,
2014,25-29,2,2086,
2014,30-34,1,1262,
2014,30-34,2,1721,
2014,35-39,1,917,
2014,35-39,2,1328,
2014,40-44,1,698,
2014,40-44,2,1177,
2014,45-49,1,581,
2014,45-49,2,1090,
2014,50-54,1,537,
2014,50-54,2,1114,
2014,55-59,1,453,
2014,55-59,2,951,
2014,60-64,1,381,
2014,60-64,2,699,
2014,65-69,1,256,
2014,65-69,2,514,
2014,70-74,1,194,
2014,70-74,2,494,
2014,75-79,1,100,
2014,75-79,2,353,
2014,80-84,1,81,
2014,80-84,2,313,
2014,85+,1,69,
2014,85+,2,234,
