year,agegrp,sex,denominator,numerator
2007,35-39,1,2201,
2007,35-39,2,2583,
2007,40-44,1,1729,
2007,40-44,2,2194,
2007,45-49,1,1427,
2007,45-49,2,2003,
2007,50-54,1,1110,
2007,50-54,2,1360,
2007,55-59,1,808,
2007,55-59,2,1136,
2007,60-64,1,504,
2007,60-64,2,734,
2007,65-69,1,469,
2007,65-69,2,876,
2007,70-74,1,235,
2007,70-74,2,625,
2007,75-79,1,215,
2007,75-79,2,597,
2007,80-84,1,108,
2007,80-84,2,255,
2007,85+,1,79,
2007,85+,2,223,
2008,00-04,1,5733,
2008,00-04,2,5632,
2008,05-09,1,5397,
2008,05-09,2,5311,
2008,10-14,1,5924,
2008,10-14,2,5931,
2008,15-19,1,5869,
2008,15-19,2,6008,
2008,20-24,1,5555,
2008,20-24,2,5637,
2008,25-29,1,4275,
2008,25-29,2,4578,
2008,30-34,1,3093,
2008,30-34,2,3396,
2008,35-39,1,2297,
2008,35-39,2,2645,
2008,40-44,1,1645,
2008,40-44,2,2115,
2008,45-49,1,1446,
2008,45-49,2,2011,
2008,50-54,1,1124,
2008,50-54,2,1462,
2008,55-59,1,850,
2008,55-59,2,1149,
2008,60-64,1,482,
2008,60-64,2,743,
2008,65-69,1,472,
2008,65-69,2,882,
2008,70-74,1,229,
2008,70-74,2,596,
2008,75-79,1,209,
2008,75-79,2,614,
2008,80-84,1,130,
2008,80-84,2,290,
2008,85+,1,69,
2008,85+,2,214,
2009,00-04,1,5793,
2009,00-04,2,5668,
2009,05-09,1,5357,
2009,05-09,2,5314,
2009,10-14,1,5718,
2009,10-14,2,5735,
2009,15-19,1,5891,
2009,15-19,2,6012,
2009,20-24,1,5547,
2009,20-24,2,5620,
2009,25-29,1,4470,
2009,25-29,2,4780,
2009,30-34,1,3152,
2009,30-34,2,3423,
2009,35-39,1,2294,
2009,35-39,2,2623,
2009,40-44,1,1671,
2009,40-44,2,2131,
2009,45-49,1,1442,
2009,45-49,2,1978,
2009,50-54,1,1105,
2009,50-54,2,1557,
2009,55-59,1,852,
2009,55-59,2,1111,
2009,60-64,1,537,
2009,60-64,2,837,
2009,65-69,1,449,
2009,65-69,2,809,
2009,70-74,1,238,
2009,70-74,2,616,
2009,75-79,1,187,
2009,75-79,2,596,
2009,80-84,1,132,
2009,80-84,2,334,
2009,85+,1,77,
2009,85+,2,207,
2010,00-04,1,5736,
2010,00-04,2,5527,
2010,05-09,1,5482,
2010,05-09,2,5473,
2010,10-14,1,5515,
2010,10-14,2,5614,
2010,15-19,1,5824,
2010,15-19,2,5902,
2010,20-24,1,5578,
2010,20-24,2,5648,
2010,25-29,1,4703,
2010,25-29,2,4945,
2010,30-34,1,3259,
2010,30-34,2,3491,
2010,35-39,1,2358,
2010,35-39,2,2649,
2010,40-44,1,1697,
2010,40-44,2,2122,
2010,45-49,1,1430,
2010,45-49,2,1966,
2010,50-54,1,1097,
2010,50-54,2,1656,
2010,55-59,1,848,
2010,55-59,2,1091,
2010,60-64,1,579,
2010,60-64,2,949,
2010,65-69,1,416,
2010,65-69,2,696,
2010,70-74,1,278,
2010,70-74,2,687,
2010,75-79,1,161,
2010,75-79,2,540,
2010,80-84,1,135,
2010,80-84,2,386,
2010,85+,1,86,
2010,85+,2,218,
2011,00-04,1,5667,
2011,00-04,2,5450,
2011,05-09,1,5608,
2011,05-09,2,5537,
2011,10-14,1,5360,
2011,10-14,2,5456,
2011,15-19,1,5724,
2011,15-19,2,5862,
2011,20-24,1,5591,
2011,20-24,2,5658,
2011,25-29,1,4892,
2011,25-29,2,5076,
2011,30-34,1,3306,
2011,30-34,2,3518,
2011,35-39,1,2478,
2011,35-39,2,2785,
2011,40-44,1,1701,
2011,40-44,2,2108,
2011,45-49,1,1408,
2011,45-49,2,1932,
2011,50-54,1,1122,
2011,50-54,2,1735,
2011,55-59,1,853,
2011,55-59,2,1123,
2011,60-64,1,593,
2011,60-64,2,966,
2011,65-69,1,399,
2011,65-69,2,629,
2011,70-74,1,293,
2011,70-74,2,728,
2011,75-79,1,144,
2011,75-79,2,489,
2011,80-84,1,133,
2011,80-84,2,404,
2011,85+,1,96,
2011,85+,2,237,
2012,00-04,1,5457,
2012,00-04,2,5213,
2012,05-09,1,5723,
2012,05-09,2,5648,
2012,10-14,1,5177,
2012,10-14,2,5265,
2012,15-19,1,5681,
2012,15-19,2,5770,
2012,20-24,1,5526,
2012,20-24,2,5628,
2012,25-29,1,4998,
2012,25-29,2,5118,
2012,30-34,1,3419,
2012,30-34,2,3626,
2012,35-39,1,2515,
2012,35-39,2,2824,
2012,40-44,1,1744,
2012,40-44,2,2151,
2012,45-49,1,1359,
2012,45-49,2,1888,
2012,50-54,1,1120,
2012,50-54,2,1752,
2012,55-59,1,860,
2012,55-59,2,1193,
2012,60-64,1,626,
2012,60-64,2,973,
2012,65-69,1,373,
2012,65-69,2,619,
2012,70-74,1,314,
2012,70-74,2,721,
2012,75-79,1,143,
2012,75-79,2,474,
2012,80-84,1,124,
2012,80-84,2,401,
2012,85+,1,93,
2012,85+,2,272,
2013,00-04,1,5065,
2013,00-04,2,4807,
2013,05-09,1,5675,
2013,05-09,2,5561,
2013,10-14,1,4962,
2013,10-14,2,4961,
2013,15-19,1,5428,
2013,15-19,2,5514,
2013,20-24,1,5415,
2013,20-24,2,5470,
2013,25-29,1,4898,
2013,25-29,2,4925,
2013,30-34,1,3569,
2013,30-34,2,3819,
2013,35-39,1,2480,
2013,35-39,2,2729,
2013,40-44,1,1773,
2013,40-44,2,2195,
2013,45-49,1,1271,
2013,45-49,2,1781,
2013,50-54,1,1158,
2013,50-54,2,1732,
2013,55-59,1,862,
2013,55-59,2,1271,
2013,60-64,1,651,
2013,60-64,2,975,
2013,65-69,1,360,
2013,65-69,2,623,
2013,70-74,1,310,
2013,70-74,2,703,
2013,75-79,1,133,
2013,75-79,2,449,
2013,80-84,1,129,
2013,80-84,2,409,
2013,85+,1,95,
2013,85+,2,290,
2014,00-04,1,3570,
2014,00-04,2,3422,
2014,05-09,1,4379,
2014,05-09,2,4277,
2014,10-14,1,3783,
2014,10-14,2,3751,
2014,15-19,1,4066,
2014,15-19,2,4101,
2014,20-24,1,4152,
2014,20-24,2,4131,
2014,25-29,1,3776,
2014,25-29,2,3786,
2014,30-34,1,2876,
2014,30-34,2,3052,
2014,35-39,1,1948,
2014,35-39,2,2108,
2014,40-44,1,1379,
2014,40-44,2,1669,
2014,45-49,1,1007,
2014,45-49,2,1386,
2014,50-54,1,888,
2014,50-54,2,1311,
2014,55-59,1,677,
2014,55-59,2,1041,
2014,60-64,1,509,
2014,60-64,2,742,
2014,65-69,1,308,
2014,65-69,2,543,
2014,70-74,1,232,
2014,70-74,2,511,
2014,75-79,1,111,
2014,75-79,2,359,
2014,80-84,1,91,
2014,80-84,2,324,
2014,85+,1,76,
2014,85+,2,245,
