year,agegrp,sex,denominator,numerator
2000,00-04,1,5651,
2000,00-04,2,5706,
2000,05-09,1,5959,
2000,05-09,2,5867,
2000,10-14,1,5951,
2000,10-14,2,6019,
2000,15-19,1,5586,
2000,15-19,2,5918,
2000,20-24,1,4439,
2000,20-24,2,4856,
2000,25-29,1,3588,
2000,25-29,2,4044,
2000,30-34,1,2692,
2000,30-34,2,3204,
2000,35-39,1,2342,
2000,35-39,2,2734,
2000,40-44,1,1835,
2000,40-44,2,2202,
2000,45-49,1,1377,
2000,45-49,2,1411,
2000,50-54,1,980,
2000,50-54,2,1259,
2000,55-59,1,752,
2000,55-59,2,958,
2000,60-64,1,588,
2000,60-64,2,968,
2000,65-69,1,369,
2000,65-69,2,864,
2000,70-74,1,392,
2000,70-74,2,718,
2000,75-79,1,165,
2000,75-79,2,250,
2000,80-84,1,97,
2000,80-84,2,196,
2000,85+,1,72,
2000,85+,2,205,
2001,00-04,1,5582,
2001,00-04,2,5553,
2001,05-09,1,5839,
2001,05-09,2,5846,
2001,10-14,1,5936,
2001,10-14,2,5885,
2001,15-19,1,5770,
2001,15-19,2,6007,
2001,20-24,1,4451,
2001,20-24,2,4823,
2001,25-29,1,3733,
2001,25-29,2,4193,
2001,30-34,1,2734,
2001,30-34,2,3215,
2001,35-39,1,2295,
2001,35-39,2,2701,
2001,40-44,1,1851,
2001,40-44,2,2333,
2001,45-49,1,1415,
2001,45-49,2,1487,
2001,50-54,1,1005,
2001,50-54,2,1286,
2001,55-59,1,713,
2001,55-59,2,884,
2001,60-64,1,627,
2001,60-64,2,1022,
2001,65-69,1,345,
2001,65-69,2,802,
2001,70-74,1,377,
2001,70-74,2,773,
2001,75-79,1,168,
2001,75-79,2,295,
2001,80-84,1,109,
2001,80-84,2,216,
2001,85+,1,66,
2001,85+,2,196,
2002,00-04,1,5451,
2002,00-04,2,5439,
2002,05-09,1,5938,
2002,05-09,2,5843,
2002,10-14,1,5912,
2002,10-14,2,5942,
2002,15-19,1,5874,
2002,15-19,2,6058,
2002,20-24,1,4546,
2002,20-24,2,4951,
2002,25-29,1,3738,
2002,25-29,2,4259,
2002,30-34,1,2801,
2002,30-34,2,3282,
2002,35-39,1,2238,
2002,35-39,2,2625,
2002,40-44,1,1833,
2002,40-44,2,2368,
2002,45-49,1,1443,
2002,45-49,2,1578,
2002,50-54,1,1026,
2002,50-54,2,1302,
2002,55-59,1,683,
2002,55-59,2,860,
2002,60-64,1,642,
2002,60-64,2,1036,
2002,65-69,1,353,
2002,65-69,2,771,
2002,70-74,1,340,
2002,70-74,2,783,
2002,75-79,1,181,
2002,75-79,2,352,
2002,80-84,1,112,
2002,80-84,2,217,
2002,85+,1,53,
2002,85+,2,186,
2003,00-04,1,5319,
2003,00-04,2,5226,
2003,05-09,1,5908,
2003,05-09,2,5854,
2003,10-14,1,5923,
2003,10-14,2,5989,
2003,15-19,1,5821,
2003,15-19,2,5929,
2003,20-24,1,4754,
2003,20-24,2,5160,
2003,25-29,1,3683,
2003,25-29,2,4124,
2003,30-34,1,2828,
2003,30-34,2,3261,
2003,35-39,1,2107,
2003,35-39,2,2540,
2003,40-44,1,1844,
2003,40-44,2,2344,
2003,45-49,1,1443,
2003,45-49,2,1688,
2003,50-54,1,1067,
2003,50-54,2,1318,
2003,55-59,1,654,
2003,55-59,2,866,
2003,60-64,1,636,
2003,60-64,2,1028,
2003,65-69,1,349,
2003,65-69,2,732,
2003,70-74,1,315,
2003,70-74,2,794,
2003,75-79,1,209,
2003,75-79,2,399,
2003,80-84,1,94,
2003,80-84,2,195,
2003,85+,1,54,
2003,85+,2,192,
2004,00-04,1,5315,
2004,00-04,2,5154,
2004,05-09,1,5830,
2004,05-09,2,5793,
2004,10-14,1,5971,
2004,10-14,2,6044,
2004,15-19,1,5843,
2004,15-19,2,5971,
2004,20-24,1,4997,
2004,20-24,2,5366,
2004,25-29,1,3740,
2004,25-29,2,4123,
2004,30-34,1,2789,
2004,30-34,2,3224,
2004,35-39,1,2107,
2004,35-39,2,2583,
2004,40-44,1,1857,
2004,40-44,2,2288,
2004,45-49,1,1414,
2004,45-49,2,1820,
2004,50-54,1,1059,
2004,50-54,2,1295,
2004,55-59,1,713,
2004,55-59,2,993,
2004,60-64,1,613,
2004,60-64,2,946,
2004,65-69,1,367,
2004,65-69,2,742,
2004,70-74,1,284,
2004,70-74,2,794,
2004,75-79,1,221,
2004,75-79,2,451,
2004,80-84,1,96,
2004,80-84,2,179,
2004,85+,1,66,
2004,85+,2,199,
2005,00-04,1,5348,
2005,00-04,2,5236,
2005,05-09,1,5668,
2005,05-09,2,5730,
2005,10-14,1,5943,
2005,10-14,2,5932,
2005,15-19,1,5807,
2005,15-19,2,5931,
2005,20-24,1,5173,
2005,20-24,2,5510,
2005,25-29,1,3827,
2005,25-29,2,4109,
2005,30-34,1,2837,
2005,30-34,2,3220,
2005,35-39,1,2113,
2005,35-39,2,2571,
2005,40-44,1,1788,
2005,40-44,2,2259,
2005,45-49,1,1402,
2005,45-49,2,1889,
2005,50-54,1,1075,
2005,50-54,2,1261,
2005,55-59,1,751,
2005,55-59,2,1101,
2005,60-64,1,568,
2005,60-64,2,816,
2005,65-69,1,409,
2005,65-69,2,821,
2005,70-74,1,240,
2005,70-74,2,715,
2005,75-79,1,240,
2005,75-79,2,542,
2005,80-84,1,93,
2005,80-84,2,184,
2005,85+,1,73,
2005,85+,2,211,
2006,00-04,1,5435,
2006,00-04,2,5356,
2006,05-09,1,5574,
2006,05-09,2,5578,
2006,10-14,1,5920,
2006,10-14,2,5967,
2006,15-19,1,5848,
2006,15-19,2,5912,
2006,20-24,1,5384,
2006,20-24,2,5696,
2006,25-29,1,3882,
2006,25-29,2,4149,
2006,30-34,1,2996,
2006,30-34,2,3380,
2006,35-39,1,2115,
2006,35-39,2,2528,
2006,40-44,1,1749,
2006,40-44,2,2225,
2006,45-49,1,1427,
2006,45-49,2,1969,
2006,50-54,1,1080,
2006,50-54,2,1295,
2006,55-59,1,767,
2006,55-59,2,1122,
2006,60-64,1,533,
2006,60-64,2,743,
2006,65-69,1,439,
2006,65-69,2,872,
2006,70-74,1,228,
2006,70-74,2,656,
2006,75-79,1,234,
2006,75-79,2,593,
2006,80-84,1,98,
2006,80-84,2,212,
2006,85+,1,79,
2006,85+,2,225,
2007,00-04,1,5623,
2007,00-04,2,5611,
2007,05-09,1,5506,
2007,05-09,2,5497,
2007,10-14,1,5997,
2007,10-14,2,5988,
2007,15-19,1,5853,
2007,15-19,2,5992,
2007,20-24,1,5571,
2007,20-24,2,5751,
2007,25-29,1,4075,
2007,25-29,2,4311,
2007,30-34,1,3083,
2007,30-34,2,3463,
